Company Name,Symbol
ABB Ltd,ABB
Alfa Laval AB,ALFA
Autoliv Inc. SDB,ALIV-SDB
ASSA ABLOY AB ser. B,ASSA-B
Atlas Copco AB ser. A,ATCO-A
Atlas Copco AB ser. B,ATCO-B
AstraZeneca PLC,AZN
Boliden AB,BOL
"Electrolux, AB ser. B",ELUX-B
"Ericsson, Telefonab. L M ser. ",ERIC-B
ESSITY AKTIEBOLAG SER. B,ESSITY-B
Evolution AB,EVO
Getinge AB ser. B,GETI-B
Hexagon AB ser. B,HEXA-B
"Hennes & Mauritz AB, H & M ser",HM-B
Investor AB ser. B,INVE-B
Kinnevik AB ser. B,KINV-B
Nordea Bank Abp,NDA-SE
NIBE Industrier AB ser. B,NIBE-B
Sandvik AB,SAND
SamhAllsbyggnadsbolaget i Nord,SBB-B
Svenska Cellulosa AB SCA ser. ,SCA-B
Skand. Enskilda Banken ser. A,SEB-A
Svenska Handelsbanken ser. A,SHB-A
Sinch AB,SINCH
"SKF, AB ser. B",SKF-B
Swedbank AB ser A,SWED-A
Tele2 AB ser. B,TEL2-B
Telia Company AB (publ),TELIA
"Volvo, AB ser. B",VOLV-B

